EngineID,Cylinders,Bore_mm,Stroke_mm,Crank_Radius_mm,Conrod_Length_mm,CompRatio,Crank_Phasing_deg,Piston_Area_mm2,Disp_per_Cyl_cc,Total_Disp_cc,CombChamber_cc,Total_Cyl_Volume_cc,IVO_BTDC_deg,IVC_ABDC_deg,EVO_BBDC_deg,EVC_ATDC_deg,int_dur_deg,exh_dur_deg,int_lift_mm,exh_lift_mm,IV_CL_ATDC_deg,EV_CL_BTDC_deg,LSA_deg
Daytona675R,3,76,49.58,24.79,104.6,13.1,0_240_480,4536,224.9,674.8,17.2,242.1,27.49,51.49,43.54,23.54,258.98,247.08,9.4,8.7,102,100,101
CBR600RR,4,67,42.5,21.25,91.8,12.2,0_180_360_540,3526,149.8,599.4,12.3,162.1,21,45,40,5,246,225,8.3,7.2,102,107.5,104.8
Ninja650,2,83,60,30,126.5,10.8,0_180,5411,324.6,649.3,30.1,354.7,31,61,50,30,272,260,,,105,100,102.5
KL650R,1,100,83,41.5,125,9.8,0,7854,651.9,651.9,66.5,718.4,19,69,59,19,268,258,8.76,9.02,115,110,112.5
R6,4,67,42.5,21.25,90.5,13.1,0_180_360_540,3526,149.8,599.4,11.4,161.2,39,65,64,24,284,268,8.5,7.7,103,110,106.5
ZX6R,4,67,45.1,22.55,94.5,12.9,0_180_360_540,3526,159,636,12.3,171.3,41,67,58,20,288,258,8.6,7.2,103,109,106
CB650R,4,67,46,23,94.5,11.6,0_180_360_540,3526,162.2,648.7,14.0,176.2,,,,,,,,,,,
YZ450F,1,97,60.8,30.4,103.5,13,0,7390,449.3,449.3,34.6,483.9,,,,,,,,,,,
MT07,2,80,68.6,34.3,124,11.5,0_270,5027,344.8,689.6,30.0,374.8,,,,,,,,,,,
GSXR600,4,67,42.5,21.25,92.27,12.9,0_180_360_540,3526,149.8,599.4,11.6,161.4,38,66,57,29,284,266,8.2,8,104,104,104
CRF450R,1,96,62.1,31.05,102,12.5,0,7238,449.5,449.5,36.0,485.5,,,,,,,10,8.8,,,
450SXF,1,95,63.4,31.7,114,11.9,0,7088,449.4,449.4,37.8,487.2,,,,,,,,,,,
690Duke,1,105,80,40,88,12.6,0,8659,692.7,692.7,55.0,747.7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
