Engine,RPM,Torque_Nm,Power_kW
Daytona675,2400,31.314,7.928
Daytona675,2500,35.124,9.112
Daytona675,2600,39.763,10.753
Daytona675,2700,43.243,12.302
Daytona675,2800,46.059,13.578
Daytona675,2900,47.882,14.762
Daytona675,3000,49.87,15.947
Daytona675,3100,51.03,16.767
Daytona675,3200,51.858,17.587
Daytona675,3300,52.521,18.407
Daytona675,3400,53.515,19.318
Daytona675,3500,53.846,20.047
Daytona675,3600,54.177,20.685
Daytona675,3700,54.177,21.141
Daytona675,3800,54.509,21.961
Daytona675,3900,54.509,22.599
Daytona675,4000,54.095,23.054
Daytona675,4100,53.515,23.237
Daytona675,4200,52.769,23.51
Daytona675,4300,51.361,23.875
Daytona675,4400,51.361,24.057
Daytona675,4500,51.361,24.604
Daytona675,4600,51.527,25.333
Daytona675,4700,52.189,26.244
Daytona675,4800,52.686,26.882
Daytona675,4900,53.018,27.838
Daytona675,5000,52.355,28.748
Daytona675,5100,53.515,29.662
Daytona675,5200,54.509,30.474
Daytona675,5300,55.172,31.073
Daytona675,5400,54.343,31.62
Daytona675,5500,54.509,32.258
Daytona675,5600,54.509,32.896
Daytona675,5700,54.84,33.579
Daytona675,5800,55.172,34.445
Daytona675,5900,55.586,35.311
Daytona675,6000,56,36.085
Daytona675,6100,56.166,36.86
Daytona675,6200,56.663,37.725
Daytona675,6300,56.994,38.682
Daytona675,6400,57.16,39.275
Daytona675,6500,57.16,40.004
Daytona675,6600,56.828,40.55
Daytona675,6700,56.828,41.097
Daytona675,6800,56.828,41.826
Daytona675,6900,56.994,42.464
Daytona675,7000,57.491,43.557
Daytona675,7100,58.154,44.469
Daytona675,7200,58.982,45.653
Daytona675,7300,58.982,46.473
Daytona675,7400,58.982,47.385
Daytona675,7500,59.148,48.114
Daytona675,7600,59.645,48.888
Daytona675,7700,59.976,49.845
Daytona675,7800,60.308,50.528
Daytona675,7900,60.308,51.303
Daytona675,8000,60.391,52.305
Daytona675,8100,60.805,53.399
Daytona675,8200,61.136,54.128
Daytona675,8300,61.467,55.039
Daytona675,8400,61.964,56.406
Daytona675,8500,62.296,57.408
Daytona675,8600,62.959,58.684
Daytona675,8700,63.621,59.869
