EngineID,Primary,GR1,GR2,GR3,GR4,GR5,GR6
Daytona675R,1.848,2.615,1.857,1.565,1.35,1.238,1.136
CBR600RR,2.111,2.75,2,1.666,1.444,1.304,1.208
Ninja650,2.095,2.438,1.714,1.333,1.111,0.966,0.852
KL650R,2.273,2.267,1.444,1.136,0.955,0.792,
R6,2.073,2.583,2,1.667,1.444,1.286,1.15
ZX6R,1.9,2.846,2.2,1.85,1.6,1.421,1.3
CB650R,1.69,3.071,2.352,1.888,1.56,1.37,1.214
YZ450F,2.481,2,1.625,1.35,1.136,1,
MT07,1.925,2.846,2.125,1.632,1.3,1.091,0.964
GSXR600,1.974,2.687,2.105,1.761,1.521,1.347,1.23
CRF450R,2.739,2.231,1.625,1.235,1,0.826,
450SXF,2.483,2,1.625,1.333,1.143,0.955,
690Duke,2.194,2.5,1.75,1.333,1.095,0.957,0.87
